[14/01/2015 16:41:33] /n account manager
[14/01/2015 16:47:28] /t
[15/01/2015 10:11:15] /newtype
[15/01/2015 10:16:07] /newtype
[15/01/2015 10:35:51] /kick sorcerer 18
[15/01/2015 10:36:27] /kick druid 07
[15/01/2015 10:38:10] /reload creatureevents
[15/01/2015 10:38:14] /kick all
[15/01/2015 10:38:26] /kick druid 07
[15/01/2015 10:38:32] /kick knight 10
[15/01/2015 10:38:37] /kick sorcerer 19
[15/01/2015 10:45:26] /i sprite wand
[15/01/2015 10:45:29] /m monk
[17/01/2015 00:10:38] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:10:38] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:10:38] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:10:38] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:10:38] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:10:38] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:10:38] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:10:38] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:10:38] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:10:38] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:10:38] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:10:38] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:10:38] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:10:38] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:10:38] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:10:39] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:10:39] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:10:39] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:10:39] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:10:39] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:10:39] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:10:39] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:10:39] /addskill sorcerer 01, magic, 1000
